t,hip_L.q,abduct_L.q,hip_R.q,abduct_R.q
0.343000,0.283229083,0.004024948,0.616617125,-0.012111690
0.344000,0.281196998,0.004106955,0.617276703,-0.012018563
0.345000,0.279159531,0.004189234,0.617922457,-0.011925089
0.346000,0.277116787,0.004271779,0.618554422,-0.011831278
0.347000,0.275068869,0.004354583,0.619172634,-0.011737141
0.348000,0.273015884,0.004437642,0.619777131,-0.011642690
0.349000,0.270957937,0.004520950,0.620367949,-0.011547934
0.350000,0.268895136,0.004604499,0.620945129,-0.011452885
0.351000,0.266827589,0.004688285,0.621508711,-0.011357554
0.352000,0.264755404,0.004772301,0.622058735,-0.011261951
0.353000,0.262678691,0.004856541,0.622595246,-0.011166088
0.354000,0.260597561,0.004940998,0.623118285,-0.011069976
0.355000,0.258512124,0.005025667,0.623627897,-0.010973625
0.356000,0.256422493,0.005110540,0.624124129,-0.010877046
0.357000,0.254328780,0.005195611,0.624607027,-0.010780250
0.358000,0.252231098,0.005280875,0.625076638,-0.010683247
0.359000,0.250129563,0.005366323,0.625533010,-0.010586049
0.360000,0.248024288,0.005451950,0.625976195,-0.010488667
0.361000,0.245915390,0.005537748,0.626406241,-0.010391110
0.362000,0.243802985,0.005623711,0.626823202,-0.010293390
0.363000,0.241687190,0.005709832,0.627227129,-0.010195516
0.364000,0.239568124,0.005796104,0.627618076,-0.010097501
0.365000,0.237445904,0.005882520,0.627996097,-0.009999354
0.366000,0.235320649,0.005969072,0.628361249,-0.009901086
0.367000,0.233192481,0.006055755,0.628713588,-0.009802707
0.368000,0.231061519,0.006142560,0.629053170,-0.009704227
0.369000,0.228927885,0.006229480,0.629380056,-0.009605658
0.370000,0.226791700,0.006316508,0.629694303,-0.009507009
0.371000,0.224653087,0.006403636,0.629995972,-0.009408291
0.372000,0.222512170,0.006490858,0.630285124,-0.009309514
0.373000,0.220369071,0.006578166,0.630561821,-0.009210688
0.374000,0.218223916,0.006665551,0.630826126,-0.009111823
0.375000,0.216076830,0.006753007,0.631078103,-0.009012930
