t,hip_L.q,abduct_L.q,hip_R.q,abduct_R.q
0.379000,-0.023975717,0.017073066,0.493828697,-0.013277128
0.380000,-0.026331555,0.017158193,0.493505674,-0.013173794
0.381000,-0.028681432,0.017242847,0.493172411,-0.013070691
0.382000,-0.031025151,0.017327016,0.492829045,-0.012967828
0.383000,-0.033362512,0.017410690,0.492475711,-0.012865216
0.384000,-0.035693318,0.017493856,0.492112546,-0.012762863
0.385000,-0.038017369,0.017576503,0.491739687,-0.012660779
0.386000,-0.040334467,0.017658619,0.491357271,-0.012558974
0.387000,-0.042644414,0.017740193,0.490965437,-0.012457457
0.388000,-0.044947012,0.017821213,0.490564323,-0.012356238
0.389000,-0.047242061,0.017901668,0.490154068,-0.012255324
0.390000,-0.049529365,0.017981547,0.489734811,-0.012154724
0.391000,-0.051808725,0.018060837,0.489306692,-0.012054448
0.392000,-0.054079944,0.018139529,0.488869850,-0.011954504
0.393000,-0.056342824,0.018217611,0.488424426,-0.011854900
0.394000,-0.058597168,0.018295072,0.487970560,-0.011755644
0.395000,-0.060842780,0.018371901,0.487508393,-0.011656745
0.396000,-0.063079463,0.018448087,0.487038066,-0.011558209
0.397000,-0.065307019,0.018523620,0.486559720,-0.011460046
0.398000,-0.067525254,0.018598488,0.486073497,-0.011362262
0.399000,-0.069733972,0.018672682,0.485579538,-0.011264864
0.400000,-0.071932977,0.018746190,0.485077986,-0.011167861
0.401000,-0.074122075,0.018819003,0.484568982,-0.011071258
0.402000,-0.076301071,0.018891109,0.484052669,-0.010975063
0.403000,-0.078469771,0.018962500,0.483529188,-0.010879283
0.404000,-0.080627981,0.019033165,0.482998681,-0.010783925
0.405000,-0.082775509,0.019103094,0.482461292,-0.010688994
0.406000,-0.084912162,0.019172277,0.481917163,-0.010594497
0.407000,-0.087037748,0.019240705,0.481366436,-0.010500441
0.408000,-0.089152075,0.019308368,0.480809253,-0.010406831
0.409000,-0.091254952,0.019375257,0.480245758,-0.010313672
0.410000,-0.093346190,0.019441362,0.479676091,-0.010220972
0.411000,-0.095425598,0.019506675,0.479100397,-0.010128735
0.412000,-0.097492986,0.019571187,0.478518816,-0.010036966
0.413000,-0.099548168,0.019634888,0.477931491,-0.009945671
0.414000,-0.101590955,0.019697770,0.477338565,-0.009854856
0.415000,-0.103621159,0.019759826,0.476740179,-0.009764524
0.416000,-0.105638595,0.019821045,0.476136474,-0.009674681
0.417000,-0.107643077,0.019881420,0.475527593,-0.009585332
0.418000,-0.109634420,0.019940944,0.474913677,-0.009496480
0.419000,-0.111612439,0.019999608,0.474294867,-0.009408131
0.420000,-0.113576953,0.020057405,0.473671303,-0.009320288
0.421000,-0.115527777,0.020114326,0.473043127,-0.009232955
0.422000,-0.117464731,0.020170366,0.472410479,-0.009146137
0.423000,-0.119387633,0.020225516,0.471773499,-0.009059837
0.424000,-0.121296305,0.020279770,0.471132326,-0.008974059
0.425000,-0.123190566,0.020333122,0.470487101,-0.008888807
0.426000,-0.125070239,0.020385563,0.469837961,-0.008804083
0.427000,-0.126935147,0.020437089,0.469185047,-0.008719891
0.428000,-0.128785113,0.020487692,0.468528495,-0.008636235
0.429000,-0.130619963,0.020537368,0.467868445,-0.008553116
0.430000,-0.132439521,0.020586109,0.467205033,-0.008470538
0.431000,-0.134243616,0.020633911,0.466538397,-0.008388504
0.432000,-0.136032075,0.020680769,0.465868672,-0.008307016
0.433000,-0.137804727,0.020726676,0.465195996,-0.008226076
0.434000,-0.139561402,0.020771628,0.464520503,-0.008145688
0.435000,-0.141301931,0.020815621,0.463842328,-0.008065853
0.436000,-0.143026147,0.020858649,0.463161607,-0.007986572
0.437000,-0.144733883,0.020900708,0.462478472,-0.007907849
0.438000,-0.146424973,0.020941795,0.461793057,-0.007829685
0.439000,-0.148099254,0.020981906,0.461105495,-0.007752082
0.440000,-0.149756562,0.021021036,0.460415917,-0.007675041
0.441000,-0.151396735,0.021059182,0.459724456,-0.007598564
0.442000,-0.153019614,0.021096342,0.459031242,-0.007522652
0.443000,-0.154625038,0.021132512,0.458336405,-0.007447306
0.444000,-0.156212850,0.021167689,0.457640074,-0.007372528
0.445000,-0.157782893,0.021201871,0.456942378,-0.007298318
0.446000,-0.159335012,0.021235056,0.456243445,-0.007224678
0.447000,-0.160869052,0.021267241,0.455543402,-0.007151609
0.448000,-0.162384861,0.021298425,0.454842376,-0.007079110
0.449000,-0.163882287,0.021328607,0.454140492,-0.007007183
0.450000,-0.165361181,0.021357784,0.453437875,-0.006935828
0.451000,-0.166821394,0.021385955,0.452734650,-0.006865046
0.452000,-0.168262778,0.021413121,0.452030938,-0.006794837
0.453000,-0.169685189,0.021439280,0.451326864,-0.006725202
