t,abduct_L.q,abduct_L.w,abduct_R.q,abduct_R.w,hip_L.q,hip_L.w,hip_R.q,hip_R.w
1.306529780700e-02,4.077321158892e-04,6.248537338399e-02,-4.629833103346e-04,-7.094032023673e-02,-2.235326474827e-03,-3.420604459515e-01,-2.237590278901e-03,-3.424033558924e-01
1.323936753938e-02,4.186817190025e-04,6.332171511706e-02,-4.754144548113e-04,-7.188915743088e-02,-2.295264933534e-03,-3.466113626202e-01,-2.297588808341e-03,-3.469586442719e-01
1.341343727176e-02,4.297769171364e-04,6.415820896003e-02,-4.880107758402e-04,-7.283814072480e-02,-2.355995547040e-03,-3.511620259640e-01,-2.358380252884e-03,-3.515136715325e-01
1.358750700414e-02,4.410177369393e-04,6.499485687544e-02,-5.007722990166e-04,-7.378727199920e-02,-2.417518270957e-03,-3.557124326379e-01,-2.419964566777e-03,-3.560684342283e-01
1.376157673652e-02,4.524042054013e-04,6.583166082436e-02,-5.136990502629e-04,-7.473655313322e-02,-2.479833060316e-03,-3.602625792961e-01,-2.482341703667e-03,-3.606229289126e-01
1.393564646890e-02,4.639363498537e-04,6.666862276637e-02,-5.267910558286e-04,-7.568598600437e-02,-2.542939869564e-03,-3.648124625926e-01,-2.545511616602e-03,-3.651771521387e-01
1.410971620128e-02,4.756141979686e-04,6.750574465956e-02,-5.400483422898e-04,-7.663557248859e-02,-2.606838652566e-03,-3.693620791805e-01,-2.609474258028e-03,-3.697311004589e-01
1.428378593365e-02,4.874377777591e-04,6.834302846048e-02,-5.534709365490e-04,-7.758531446014e-02,-2.671529362607e-03,-3.739114257124e-01,-2.674229579793e-03,-3.742847704252e-01
1.445785566603e-02,4.994071175785e-04,6.918047612417e-02,-5.670588658348e-04,-7.853521379166e-02,-2.737011952385e-03,-3.784604988405e-01,-2.739777533144e-03,-3.788381585892e-01
1.463192539841e-02,5.115222461204e-04,7.001808960407e-02,-5.808121577016e-04,-7.948527235409e-02,-2.803286374018e-03,-3.830092952163e-01,-2.806118068727e-03,-3.833912615018e-01
1.480599513079e-02,5.237831924183e-04,7.085587085207e-02,-5.947308400295e-04,-8.043549201670e-02,-2.870352579040e-03,-3.875578114905e-01,-2.873251136589e-03,-3.879440757133e-01
1.498006486317e-02,5.361899858452e-04,7.169382181846e-02,-6.088149410237e-04,-8.138587464701e-02,-2.938210518402e-03,-3.921060443135e-01,-2.941176686174e-03,-3.924965977737e-01
1.515413459555e-02,5.487426561136e-04,7.253194445190e-02,-6.230644892142e-04,-8.233642211082e-02,-3.006860142474e-03,-3.966539903350e-01,-3.009894666329e-03,-3.970488242322e-01
1.532820432793e-02,5.614412332749e-04,7.337024069943e-02,-6.374795134559e-04,-8.328713627218e-02,-3.076301401038e-03,-4.012016462038e-01,-3.079405025297e-03,-4.016007516377e-01
1.550227406030e-02,5.742857477196e-04,7.420871250642e-02,-6.520600429277e-04,-8.423801899335e-02,-3.146534243298e-03,-4.057490085686e-01,-3.149707710722e-03,-4.061523765382e-01
1.567634379268e-02,5.872762301762e-04,7.504736181658e-02,-6.668061071329e-04,-8.518907213479e-02,-3.217558617870e-03,-4.102960740769e-01,-3.220802669646e-03,-4.107036954816e-01
1.585041352506e-02,6.004127117118e-04,7.588619057192e-02,-6.817177358982e-04,-8.614029755515e-02,-3.289374472790e-03,-4.148428393760e-01,-3.292689848511e-03,-4.152547050148e-01
1.602448325744e-02,6.136952237312e-04,7.672520071274e-02,-6.967949593737e-04,-8.709169711124e-02,-3.361981755508e-03,-4.193893011123e-01,-3.365369193157e-03,-4.198054016843e-01
1.619855298982e-02,6.271237979769e-04,7.756439417762e-02,-7.120378080326e-04,-8.804327265800e-02,-3.435380412892e-03,-4.239354559317e-01,-3.438840648825e-03,-4.243557820361e-01
1.637262272220e-02,6.406984665286e-04,7.840377290337e-02,-7.274463126709e-04,-8.899502604851e-02,-3.509570391223e-03,-4.284813004792e-01,-3.513104160151e-03,-4.289058426155e-01
1.654669245458e-02,6.544192618030e-04,7.924333882505e-02,-7.430205044069e-04,-8.994695913392e-02,-3.584551636202e-03,-4.330268313995e-01,-3.588159671172e-03,-4.334555799672e-01
